iter	MAE
0	4739.147499
1	4641.048313
2	4513.101408
3	4381.291934
4	4258.096404
5	4146.103682
6	4022.02042
7	3904.30118
8	3788.26375
9	3695.262871
10	3600.342751
11	3506.952117
12	3417.969258
13	3324.653574
14	3244.917108
15	3150.863837
16	3062.130667
17	2980.305002
18	2903.331267
19	2850.036441
20	2775.531127
21	2695.893616
22	2623.487786
23	2558.38919
24	2496.819774
25	2436.628791
26	2375.428696
27	2315.441565
28	2257.973308
29	2208.776149
30	2164.080674
31	2112.437335
32	2064.077162
33	2021.354374
34	1973.054536
35	1921.7548
36	1879.350944
37	1842.323132
38	1801.202469
39	1758.561222
40	1721.63024
41	1676.175912
42	1638.574312
43	1597.620336
44	1562.939836
45	1524.415241
46	1494.018406
47	1463.154185
48	1436.835306
49	1408.151898
50	1369.225518
51	1352.903705
52	1323.893197
53	1299.723554
54	1272.153247
55	1245.546577
56	1218.183436
57	1193.702389
58	1172.083688
59	1152.213509
60	1127.727043
61	1106.314386
62	1086.577298
63	1063.085266
64	1041.730441
65	1015.368383
66	1000.503277
67	981.2668534
68	962.696293
69	948.9982879
70	934.0265234
71	921.6612333
72	909.4731361
73	894.6964903
74	882.4040014
75	865.731012
76	849.8084276
77	837.3262649
78	821.5618847
79	805.2164234
80	786.7709602
81	773.757978
82	762.7617767
83	748.1862349
84	735.8039446
85	723.3016935
86	708.8536289
87	700.2932663
88	689.8798907
89	679.089712
90	664.351677
91	657.0554646
92	647.5792866
93	639.8043574
94	629.1257099
95	620.4594214
96	612.6001374
97	606.2119355
98	594.2505909
99	587.7219534
100	580.963827
101	575.1802476
102	566.0794112
103	562.6825032
104	553.151489
105	548.0053721
106	540.8482965
107	537.030734
108	529.2740876
109	522.8623149
110	518.1271783
111	512.0116664
112	505.8363417
113	499.5968543
114	496.3912217
115	492.5467123
116	489.3944381
117	484.1348505
118	476.9756363
119	469.8135506
120	462.0920892
121	458.9076019
122	453.4393292
123	449.6270178
124	442.5086735
